################################################################## 
# Generated by FullSWOF_2D version 1.10.00, 2023-04-06
################################################################## 
# (i-0.5)*dx 	(j-0.5)*dy	 h[i][j] 	 u[i][j] 	  v[i][j]	 h[i][j]+z[i][j] 	 z[i][j] 	 norm_U[i][j] 	Fr[i][j] (Froude)	 qx[i][j]	 qy[i][j]	  q[i][j]
# 
# time : 0 seconds 
0.5	      2.3	      0.0	      0.0	      0.0	-0.743597	-0.743597	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      2.5	      0.0	      0.0	      0.0	  -0.7999	  -0.7999	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      2.7	      0.0	      0.0	      0.0	-0.846379	-0.846379	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      2.9	      0.0	      0.0	      0.0	-0.883207	-0.883207	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      3.1	      0.0	      0.0	      0.0	-0.911031	-0.911031	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      3.3	      0.0	      0.0	      0.0	-0.930941	-0.930941	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      3.5	      0.0	      0.0	      0.0	-0.944416	-0.944416	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      3.7	      0.0	      0.0	      0.0	-0.953251	-0.953251	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      3.9	      0.0	      0.0	      0.0	-0.959469	-0.959469	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      4.1	      0.0	      0.0	      0.0	-0.965221	-0.965221	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      4.3	      0.0	      0.0	      0.0	-0.972683	-0.972683	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      4.5	      0.0	      0.0	      0.0	-0.983944	-0.983944	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      4.7	      0.0	      0.0	      0.0	 -1.00091	 -1.00091	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      4.9	      0.0	      0.0	      0.0	  -1.0252	  -1.0252	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      5.1	      0.0	      0.0	      0.0	 -1.05808	 -1.05808	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      5.3	      0.0	      0.0	      0.0	  -1.1004	  -1.1004	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      5.5	      0.0	      0.0	      0.0	 -1.15252	 -1.15252	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      5.7	      0.0	      0.0	      0.0	 -1.21435	 -1.21435	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      5.9	      0.0	      0.0	      0.0	  -1.2853	  -1.2853	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      6.1	      0.0	      0.0	      0.0	 -1.36435	 -1.36435	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      6.3	      0.0	      0.0	      0.0	 -1.45006	 -1.45006	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      6.5	      0.0	      0.0	      0.0	 -1.54069	 -1.54069	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      6.7	      0.0	      0.0	      0.0	 -1.63423	 -1.63423	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      6.9	      0.0	      0.0	      0.0	 -1.72854	 -1.72854	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      7.1	      0.0	      0.0	      0.0	 -1.82146	 -1.82146	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      7.3	      0.0	      0.0	      0.0	 -1.91086	 -1.91086	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      7.5	      0.0	      0.0	      0.0	 -1.99481	 -1.99481	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      7.7	      0.0	      0.0	      0.0	 -2.07164	 -2.07164	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      7.9	      0.0	      0.0	      0.0	 -2.14004	 -2.14004	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      8.1	      0.0	      0.0	      0.0	  -2.1991	  -2.1991	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      8.3	      0.0	      0.0	      0.0	 -2.24838	 -2.24838	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      8.5	      0.0	      0.0	      0.0	  -2.2879	  -2.2879	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      8.7	      0.0	      0.0	      0.0	  -2.3182	  -2.3182	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      8.9	      0.0	      0.0	      0.0	 -2.34022	 -2.34022	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      9.1	      0.0	      0.0	      0.0	 -2.35535	 -2.35535	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      9.3	      0.0	      0.0	      0.0	 -2.36531	 -2.36531	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      9.5	      0.0	      0.0	      0.0	 -2.37206	 -2.37206	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      9.7	      0.0	      0.0	      0.0	 -2.37772	 -2.37772	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      9.9	      0.0	      0.0	      0.0	 -2.38448	 -2.38448	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	     10.1	      0.0	      0.0	      0.0	 -2.39445	 -2.39445	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	     10.3	      0.0	      0.0	      0.0	 -2.40962	 -2.40962	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	     10.5	      0.0	      0.0	      0.0	 -2.43168	 -2.43168	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	     10.7	      0.0	      0.0	      0.0	 -2.46202	 -2.46202	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	     10.9	      0.0	      0.0	      0.0	 -2.50159	 -2.50159	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	     11.1	      0.0	      0.0	      0.0	 -2.55092	 -2.55092	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	     11.3	      0.0	      0.0	      0.0	 -2.61003	 -2.61003	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	     11.5	      0.0	      0.0	      0.0	 -2.67847	 -2.67847	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	     11.7	      0.0	      0.0	      0.0	 -2.75535	 -2.75535	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	     11.9	      0.0	      0.0	      0.0	 -2.83933	 -2.83933	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	     12.1	      0.0	      0.0	      0.0	 -2.92875	 -2.92875	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	     12.3	      0.0	      0.0	      0.0	 -3.02168	 -3.02168	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	     12.5	      0.0	      0.0	      0.0	 -3.11599	 -3.11599	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	     12.7	      0.0	      0.0	      0.0	 -3.20953	 -3.20953	      0.0	      NaN	      0.0	      0.0	      0.0

0.7	      0.1	      0.0	      0.0	      0.0	 0.157206	 0.157206	      0.0	      NaN	      0.0	      0.0	      0.0
0.7	      0.3	      0.0	      0.0	      0.0	 0.076104	 0.076104	      0.0	      NaN	      0.0	      0.0	      0.0
0.7	      0.5	      0.0	      0.0	      0.0	-0.011197	-0.011197	      0.0	      NaN	      0.0	      0.0	      0.0
0.7	      0.7	      0.0	      0.0	      0.0	-0.102861	-0.102861	      0.0	      NaN	      0.0	      0.0	      0.0
0.7	      0.9	      0.0	      0.0	      0.0	-0.196843	-0.196843	      0.0	      NaN	      0.0	      0.0	      0.0
0.7	      1.1	      0.0	      0.0	      0.0	-0.290979	-0.290979	      0.0	      NaN	      0.0	      0.0	      0.0
0.7	      1.3	      0.0	      0.0	      0.0	-0.383102	-0.383102	      0.0	      NaN	      0.0	      0.0	      0.0
0.7	      1.5	      0.0	      0.0	      0.0	 -0.47114	 -0.47114	      0.0	      NaN	      0.0	      0.0	      0.0
0.7	      1.7	      0.0	      0.0	      0.0	-0.553225	-0.553225	      0.0	      NaN	      0.0	      0.0	      0.0
0.7	      1.9	      0.0	      0.0	      0.0	 -0.62778	 -0.62778	      0.0	      NaN	      0.0	      0.0	      0.0
